,0
0,A
1,Ari Index
2,B
3,C
4,CC_DT_NN
5,Coleman Liau Index
6,Colons
7,Commas
8,D
9,DT_JJ_JJ
10,DT_JJ_NN
11,DT_JJ_NNS
12,DT_NNP_NN
13,DT_NNP_NNP
14,DT_NNS_IN
15,DT_NN_CC
16,DT_NN_IN
17,DT_NN_NN
18,DT_NN_PRP
19,DT_NN_RB
20,DT_NN_TO
21,DT_NN_VBZ
22,DT_NN___END__
23,Dale Chall Known Fraction
24,Dale Chall Score
25,Double Hyphens
26,E
27,Exclamations
28,F
29,Flesch Kincaid Grade
30,Flesch Reading Ease
31,G
32,Gunning Fog Index
33,H
34,Hyphens
35,I
36,IN_DT_JJ
37,IN_DT_NN
38,IN_DT_NNP
39,IN_DT_NNS
40,IN_JJ_NN
41,IN_JJ_NNS
42,IN_NNP_NNP
43,IN_NN_CC
44,IN_NN_IN
45,IN_NN_NN
46,IN_NN___END__
47,IN_PRP$_NN
48,IN_PRP_VBD
49,IN_PRP_VBP
50,IN_PRP_VBZ
51,J
52,JJ_IN_DT
53,JJ_JJ_NN
54,JJ_NNS_IN
55,JJ_NNS___END__
56,JJ_NN_CC
57,JJ_NN_IN
58,JJ_NN_NN
59,JJ_NN_VBZ
60,JJ_NN___END__
61,JJ_TO_VB
62,K
63,L
64,Lexical diversity
65,Lix Index
66,M
67,MD_RB_VB
68,MD_VB_DT
69,MD_VB_IN
70,MD_VB_VBN
71,Mean Sentence Length
72,Mean Word Length
73,Mean paragraph Length
74,Mean syllables per word
75,N
76,NNP_CC_NNP
77,NNP_IN_DT
78,NNP_IN_NNP
79,NNP_NNP_IN
80,NNP_NNP_NNP
81,NNS_IN_DT
82,NNS_IN_NN
83,NN_CC_DT
84,NN_CC_NN
85,NN_DT_NN
86,NN_IN_DT
87,NN_IN_JJ
88,NN_IN_NN
89,NN_IN_NNP
90,NN_IN_NNS
91,NN_IN_PRP
92,NN_IN_PRP$
93,NN_IN_VBG
94,NN_MD_VB
95,NN_NN_IN
96,NN_NN_NN
97,NN_NN___END__
98,NN_PRP_VBP
99,NN_TO_VB
100,NN_VBZ_DT
101,NN_VBZ_IN
102,NN_VBZ_RB
103,NN_WDT_VBZ
104,Number of letters
105,Numbers
106,O
107,P
108,PRP_MD_VB
109,PRP_VBP_DT
110,PRP_VBP_IN
111,PRP_VBP_RB
112,Punctuation
113,Q
114,Quotations
115,R
116,RB_DT_NN
117,RB_IN_DT
118,RB_JJ_IN
119,S
120,STDEV Sentence Length
121,Semicolons
122,Smog Index
123,Special characters
124,Syllables
125,T
126,TO_DT_NN
127,TO_VB_DT
128,TO_VB_IN
129,U
130,V
131,VBD_DT_NN
132,VBG_DT_NN
133,VBN_IN_DT
134,VBP_DT_NN
135,VBP_TO_VB
136,VBZ_DT_JJ
137,VBZ_DT_NN
138,VBZ_IN_DT
139,VBZ_RB_JJ
140,VB_DT_JJ
141,VB_DT_NN
142,VB_IN_DT
143,VB_TO_VB
144,VB_VBN_IN
145,W
146,Words with >= 3 syllables
147,X
148,Y
149,Z
150,__START___DT_JJ
151,__START___DT_NN
152,__START___IN_DT
153,__START___PRP_VBP
154,a
155,able
156,ably
157,about
158,above
159,acce
160,acco
161,acti
162,actu
163,after
164,again
165,against
166,ages
167,ain
168,akes
169,akin
170,alit
171,all
172,alle
173,allo
174,ally
175,also
176,am
177,ampl
178,an
179,ance
180,and
181,ange
182,angu
183,anot
184,answ
185,anti
186,any
187,appe
188,appr
189,arch
190,are
191,aren
192,aren't
193,arge
194,argu
195,arly
196,arti
197,as
198,ased
199,ason
200,assi
201,at
202,ated
203,ater
204,ates
205,athe
206,atic
207,atin
208,atio
209,ativ
210,atte
211,atur
212,ayer
213,back
214,base
215,be
216,because
217,been
218,before
219,being
220,beli
221,below
222,between
223,bili
224,bjec
225,blem
226,book
227,both
228,but
229,by
230,call
231,can
232,case
233,cate
234,cati
235,cent
236,cept
237,cert
238,cess
239,chan
240,char
241,chil
242,chin
243,chri
244,cial
245,cien
246,cifi
247,clea
248,clud
249,come
250,comm
251,comp
252,conc
253,cond
254,conf
255,cons
256,cont
257,coul
258,couldn
259,couldn't
260,coun
261,cour
262,crea
263,cted
264,ctio
265,ctiv
266,ctly
267,ctua
268,cula
269,d
270,defi
271,dent
272,ders
273,did
274,didn
275,didn't
276,diff
277,ding
278,disc
279,diti
280,do
281,does
282,doesn
283,doesn't
284,doing
285,don
286,don't
287,down
288,during
289,each
290,eall
291,eans
292,earl
293,ears
294,easo
295,east
296,eate
297,ecom
298,econ
299,ecti
300,edit
301,efer
302,efin
303,eith
304,elat
305,elec
306,elie
307,emen
308,ence
309,ende
310,ener
311,ense
312,ensi
313,enta
314,ente
315,enti
316,entl
317,ents
318,eopl
319,equi
320,eral
321,erat
322,ered
323,eren
324,erso
325,erst
326,erta
327,esen
328,esse
329,essi
330,esti
331,eter
332,ethe
333,ethi
334,ette
335,evel
336,even
337,ever
338,exam
339,exis
340,expe
341,expl
342,fact
343,fect
344,fere
345,few
346,ffec
347,ffer
348,ffic
349,fica
350,find
351,fini
352,firs
353,foll
354,for
355,form
356,from
357,further
358,game
359,gene
360,give
361,goin
362,good
363,gree
364,guag
365,had
366,hadn
367,hadn't
368,hand
369,hang
370,happ
371,has
372,hasn
373,hasn't
374,have
375,haven
376,haven't
377,having
378,he
379,help
380,heor
381,her
382,here
383,hers
384,herself
385,high
386,hild
387,hilo
388,him
389,himself
390,hing
391,hink
392,his
393,hist
394,houg
395,hout
396,how
397,howe
398,hris
399,i
400,ible
401,ical
402,icat
403,icul
404,idea
405,iden
406,ider
407,ienc
408,ient
409,ieve
410,if
411,iffe
412,ific
413,ight
414,ilit
415,ilos
416,imes
417,impl
418,impo
419,in
420,inal
421,ince
422,incl
423,indi
424,ined
425,ines
426,ings
427,init
428,inst
429,inte
430,into
431,iona
432,ions
433,ious
434,irst
435,is
436,isn
437,isn't
438,iste
439,isti
440,isto
441,it
442,it's
443,ited
444,ithe
445,itho
446,itio
447,its
448,itself
449,iver
450,ject
451,just
452,king
453,know
454,lace
455,lang
456,late
457,lati
458,laye
459,lear
460,leas
461,lect
462,less
463,lete
464,lica
465,liev
466,like
467,line
468,ling
469,lish
470,list
471,lity
472,ll
473,lled
474,llin
475,llow
476,logi
477,long
478,look
479,loso
480,m
481,ma
482,main
483,make
484,many
485,mate
486,mati
487,mber
488,me
489,mean
490,ment
491,meth
492,migh
493,mightn
494,mightn't
495,ming
496,mmen
497,mode
498,more
499,most
500,move
501,mple
502,mpor
503,much
504,mustn
505,mustn't
506,my
507,myself
508,name
509,nati
510,nces
511,nclu
512,nder
513,ndin
514,need
515,needn
516,needn't
517,nera
518,ness
519,nfor
520,ngua
521,ning
522,niti
523,no
524,nor
525,not
526,note
527,noth
528,now
529,nsid
530,nswe
531,nted
532,nten
533,nter
534,ntin
535,ntio
536,ntly
537,numb
538,o
539,obje
540,oble
541,oduc
542,of
543,off
544,ogic
545,oing
546,oint
547,ollo
548,olog
549,omet
550,omme
551,ompl
552,on
553,onal
554,once
555,only
556,onsi
557,onst
558,ontr
559,oper
560,ople
561,or
562,orde
563,orld
564,orma
565,orta
566,osit
567,osop
568,ossi
569,othe
570,other
571,ough
572,ould
573,ound
574,ount
575,our
576,ours
577,ourselves
578,out
579,over
580,ower
581,owev
582,owin
583,own
584,para
585,pare
586,part
587,peci
588,pect
589,pend
590,peop
591,peri
592,pers
593,phil
594,plac
595,play
596,poin
597,port
598,pose
599,posi
600,poss
601,post
602,pres
603,pret
604,prob
605,prop
606,prov
607,ptio
608,ques
609,quir
610,ract
611,rall
612,rans
613,rate
614,rati
615,rder
616,rdin
617,re
618,read
619,real
620,reas
621,reat
622,reco
623,rect
624,refe
625,rela
626,reme
627,renc
628,rent
629,requ
630,rese
631,resp
632,ress
633,rest
634,resu
635,rica
636,rien
637,ries
638,righ
639,ring
640,rist
641,riti
642,rman
643,robl
644,rodu
645,rong
646,rope
647,roun
648,rson
649,rsta
650,rtai
651,rtic
652,rule
653,s
654,same
655,scie
656,scri
657,seco
658,seem
659,sens
660,sent
661,serv
662,shan
663,shan't
664,she
665,she's
666,should
667,should've
668,shouldn
669,shouldn't
670,show
671,sibl
672,sica
673,side
674,sign
675,simp
676,sinc
677,sing
678,sion
679,siti
680,sive
681,so
682,some
683,soph
684,spec
685,ssib
686,ssio
687,stan
688,star
689,stat
690,sted
691,ster
692,stic
693,stil
694,stin
695,stio
696,stor
697,stra
698,stri
699,stru
700,such
701,supp
702,sure
703,swer
704,t
705,tabl
706,tack
707,tain
708,take
709,tanc
710,tand
711,tant
712,tart
713,tate
714,tati
715,team
716,tely
717,tent
718,tere
719,term
720,tern
721,ters
722,test
723,than
724,that
725,that'll
726,the
727,their
728,theirs
729,them
730,themselves
731,then
732,theo
733,ther
734,there
735,these
736,they
737,thin
738,this
739,those
740,thou
741,through
742,tial
743,tica
744,ties
745,till
746,time
747,ting
748,tion
749,tive
750,to
751,too
752,tori
753,tory
754,tran
755,truc
756,tter
757,ttin
758,ttle
759,tual
760,ture
761,turn
762,uage
763,uall
764,uest
765,ught
766,ular
767,ulat
768,umbe
769,umen
770,unde
771,under
772,unit
773,until
774,up
775,used
776,usin
777,utio
778,ve
779,vent
780,vers
781,very
782,vide
783,view
784,ving
785,want
786,ward
787,was
788,wasn
789,wasn't
790,ways
791,we
792,well
793,were
794,weren
795,weren't
796,weve
797,what
798,when
799,where
800,which
801,while
802,who
803,whom
804,why
805,will
806,wing
807,with
808,won
809,won't
810,word
811,work
812,worl
813,woul
814,wouldn
815,wouldn't
816,writ
817,xamp
818,xist
819,xper
820,y
821,year
822,ying
823,you
824,you'd
825,you'll
826,you're
827,you've
828,your
829,yours
830,yourself
831,yourselves
832,ythi
