,feature
0,A
1,Ari Index
2,B
3,C
4,CC_DT_NN
5,Coleman Liau Index
6,Colons
7,Commas
8,D
9,DT_JJ_JJ
10,DT_JJ_JJ_NN
11,DT_JJ_NN
12,DT_JJ_NNS
13,DT_JJ_NNS_IN
14,DT_JJ_NN_CC
15,DT_JJ_NN_IN
16,DT_JJ_NN_NN
17,DT_JJ_NN_TO
18,DT_JJ_NN_VBZ
19,DT_JJ_NN___END__
20,DT_NNP_NN
21,DT_NNP_NNP
22,DT_NNS_IN
23,DT_NNS_IN_DT
24,DT_NN_CC
25,DT_NN_IN
26,DT_NN_IN_DT
27,DT_NN_IN_JJ
28,DT_NN_IN_NN
29,DT_NN_IN_NNP
30,DT_NN_IN_NNS
31,DT_NN_IN_PRP
32,DT_NN_IN_PRP$
33,DT_NN_IN_VBG
34,DT_NN_MD_VB
35,DT_NN_NN
36,DT_NN_NN_IN
37,DT_NN_NN___END__
38,DT_NN_PRP
39,DT_NN_RB
40,DT_NN_TO
41,DT_NN_TO_VB
42,DT_NN_VBZ
43,DT_NN_VBZ_DT
44,DT_NN_VBZ_RB
45,DT_NN___END__
46,Dale Chall Known Fraction
47,Dale Chall Score
48,Double Hyphens
49,E
50,Even more special characters
51,Exclamations
52,F
53,Flesch Kincaid Grade
54,Flesch Reading Ease
55,G
56,Gunning Fog Index
57,H
58,Has URLs
59,Hyphens
60,I
61,IN_DT_JJ
62,IN_DT_JJ_NN
63,IN_DT_JJ_NNS
64,IN_DT_NN
65,IN_DT_NNP
66,IN_DT_NNP_NN
67,IN_DT_NNP_NNP
68,IN_DT_NNS
69,IN_DT_NNS_IN
70,IN_DT_NN_CC
71,IN_DT_NN_IN
72,IN_DT_NN_NN
73,IN_DT_NN_PRP
74,IN_DT_NN_RB
75,IN_DT_NN_VBZ
76,IN_DT_NN___END__
77,IN_JJ_NN
78,IN_JJ_NNS
79,IN_JJ_NNS_IN
80,IN_NNP_NNP
81,IN_NNP_NNP_NNP
82,IN_NN_CC
83,IN_NN_IN
84,IN_NN_IN_DT
85,IN_NN_NN
86,IN_NN___END__
87,IN_PRP$_NN
88,IN_PRP_MD_VB
89,IN_PRP_VBD
90,IN_PRP_VBP
91,IN_PRP_VBZ
92,IN_VBG_DT_NN
93,J
94,JJ_IN_DT
95,JJ_IN_DT_NN
96,JJ_JJ_NN
97,JJ_NNS_IN
98,JJ_NNS_IN_DT
99,JJ_NNS___END__
100,JJ_NN_CC
101,JJ_NN_IN
102,JJ_NN_IN_DT
103,JJ_NN_IN_NN
104,JJ_NN_IN_NNP
105,JJ_NN_NN
106,JJ_NN_TO_VB
107,JJ_NN_VBZ
108,JJ_NN___END__
109,JJ_TO_VB
110,K
111,L
112,Lexical diversity
113,Lix Index
114,M
115,MD_RB_VB
116,MD_VB_DT
117,MD_VB_DT_NN
118,MD_VB_IN
119,MD_VB_VBN
120,MD_VB_VBN_IN
121,Mean Sentence Length
122,Mean Word Length
123,Mean paragraph Length
124,Mean syllables per word
125,N
126,NNP_CC_NNP
127,NNP_IN_DT
128,NNP_IN_NNP
129,NNP_NNP_IN
130,NNP_NNP_NNP
131,NNP_NNP_NNP_NNP
132,NNS_IN_DT
133,NNS_IN_DT_JJ
134,NNS_IN_DT_NN
135,NNS_IN_NN
136,NN_CC_DT
137,NN_CC_DT_NN
138,NN_CC_NN
139,NN_DT_NN
140,NN_IN_DT
141,NN_IN_DT_JJ
142,NN_IN_DT_NN
143,NN_IN_DT_NNP
144,NN_IN_DT_NNS
145,NN_IN_JJ
146,NN_IN_JJ_NN
147,NN_IN_JJ_NNS
148,NN_IN_NN
149,NN_IN_NNP
150,NN_IN_NNP_NNP
151,NN_IN_NNS
152,NN_IN_NN_CC
153,NN_IN_NN_IN
154,NN_IN_NN_NN
155,NN_IN_NN___END__
156,NN_IN_PRP
157,NN_IN_PRP$
158,NN_IN_PRP$_NN
159,NN_IN_PRP_VBP
160,NN_IN_VBG
161,NN_MD_VB
162,NN_NN_IN
163,NN_NN_IN_DT
164,NN_NN_NN
165,NN_NN___END__
166,NN_PRP_MD_VB
167,NN_PRP_VBP
168,NN_TO_VB
169,NN_TO_VB_DT
170,NN_VBZ_DT
171,NN_VBZ_DT_NN
172,NN_VBZ_IN
173,NN_VBZ_RB
174,NN_WDT_VBZ
175,Numbers
176,O
177,P
178,PRP_MD_RB_VB
179,PRP_MD_VB
180,PRP_MD_VB_DT
181,PRP_MD_VB_IN
182,PRP_VBP_DT
183,PRP_VBP_DT_NN
184,PRP_VBP_IN
185,PRP_VBP_RB
186,PRP_VBP_TO_VB
187,Punctuation
188,Q
189,Quotations
190,R
191,RB_DT_JJ_NN
192,RB_DT_NN
193,RB_DT_NN_IN
194,RB_IN_DT
195,RB_IN_DT_NN
196,RB_JJ_IN
197,RB_VB_DT_NN
198,S
199,STDEV Sentence Length
200,Semicolons
201,Simpson Vocabulary Richness
202,Smog Index
203,Spaces
204,Special characters
205,Syllables
206,T
207,TO_DT_NN
208,TO_DT_NN_IN
209,TO_VB_DT
210,TO_VB_DT_JJ
211,TO_VB_DT_NN
212,TO_VB_IN
213,TO_VB_IN_DT
214,U
215,UpperCase Letters
216,V
217,VBD_DT_JJ_NN
218,VBD_DT_NN
219,VBD_DT_NN_IN
220,VBG_DT_NN
221,VBG_DT_NN_IN
222,VBN_IN_DT
223,VBN_IN_DT_JJ
224,VBN_IN_DT_NN
225,VBP_DT_NN
226,VBP_DT_NN_IN
227,VBP_TO_VB
228,VBZ_DT_JJ
229,VBZ_DT_JJ_NN
230,VBZ_DT_NN
231,VBZ_DT_NN_IN
232,VBZ_IN_DT
233,VBZ_IN_DT_NN
234,VBZ_RB_JJ
235,VB_DT_JJ
236,VB_DT_JJ_NN
237,VB_DT_NN
238,VB_DT_NN_IN
239,VB_IN_DT
240,VB_IN_DT_NN
241,VB_TO_VB
242,VB_VBN_IN
243,W
244,Words with >= 3 syllables
245,X
246,Y
247,Yule Vocabulary Richness
248,Z
249,__START___DT_JJ
250,__START___DT_JJ_NN
251,__START___DT_NN
252,__START___DT_NN_IN
253,__START___DT_NN_VBZ
254,__START___IN_DT
255,__START___IN_DT_NN
256,__START___IN_PRP_VBP
257,__START___PRP_MD_VB
258,__START___PRP_VBP
259,a
260,able
261,ably
262,about
263,above
264,acce
265,acco
266,acti
267,actu
268,after
269,again
270,against
271,ages
272,ain
273,akes
274,akin
275,alit
276,all
277,alle
278,allo
279,ally
280,also
281,am
282,ampl
283,an
284,ance
285,and
286,ange
287,angu
288,anot
289,answ
290,anti
291,any
292,appe
293,appr
294,arch
295,are
296,aren
297,aren't
298,arge
299,argu
300,arly
301,arti
302,as
303,ased
304,ason
305,assi
306,at
307,ated
308,ater
309,ates
310,athe
311,atic
312,atin
313,atio
314,ativ
315,atte
316,atur
317,ayer
318,back
319,base
320,be
321,because
322,been
323,before
324,being
325,beli
326,below
327,between
328,bili
329,bjec
330,blem
331,book
332,both
333,but
334,by
335,call
336,can
337,case
338,cate
339,cati
340,cent
341,cept
342,cert
343,cess
344,chan
345,char
346,chil
347,chin
348,chri
349,cial
350,cien
351,cifi
352,clea
353,clud
354,come
355,comm
356,comp
357,conc
358,cond
359,conf
360,cons
361,cont
362,coul
363,couldn
364,couldn't
365,coun
366,cour
367,crea
368,cted
369,ctio
370,ctiv
371,ctly
372,ctua
373,cula
374,d
375,defi
376,dent
377,ders
378,did
379,didn
380,didn't
381,diff
382,ding
383,disc
384,diti
385,do
386,does
387,doesn
388,doesn't
389,doing
390,don
391,don't
392,down
393,during
394,each
395,eall
396,eans
397,earl
398,ears
399,easo
400,east
401,eate
402,ecom
403,econ
404,ecti
405,edit
406,efer
407,efin
408,eith
409,elat
410,elec
411,elie
412,emen
413,ence
414,ende
415,ener
416,ense
417,ensi
418,enta
419,ente
420,enti
421,entl
422,ents
423,eopl
424,equi
425,eral
426,erat
427,ered
428,eren
429,erso
430,erst
431,erta
432,esen
433,esse
434,essi
435,esti
436,eter
437,ethe
438,ethi
439,ette
440,evel
441,even
442,ever
443,exam
444,exis
445,expe
446,expl
447,fact
448,fect
449,fere
450,few
451,ffec
452,ffer
453,ffic
454,fica
455,find
456,fini
457,firs
458,foll
459,for
460,form
461,from
462,further
463,game
464,gene
465,give
466,goin
467,good
468,gree
469,guag
470,had
471,hadn
472,hadn't
473,hand
474,hang
475,happ
476,has
477,hasn
478,hasn't
479,have
480,haven
481,haven't
482,having
483,he
484,help
485,heor
486,her
487,here
488,hers
489,herself
490,high
491,hild
492,hilo
493,him
494,himself
495,hing
496,hink
497,his
498,hist
499,houg
500,hout
501,how
502,howe
503,hris
504,i
505,ible
506,ical
507,icat
508,icul
509,idea
510,iden
511,ider
512,ienc
513,ient
514,ieve
515,if
516,iffe
517,ific
518,ight
519,ilit
520,ilos
521,imes
522,impl
523,impo
524,in
525,inal
526,ince
527,incl
528,indi
529,ined
530,ines
531,ings
532,init
533,inst
534,inte
535,into
536,iona
537,ions
538,ious
539,irst
540,is
541,isn
542,isn't
543,iste
544,isti
545,isto
546,it
547,it's
548,ited
549,ithe
550,itho
551,itio
552,its
553,itself
554,iver
555,ject
556,just
557,king
558,know
559,lace
560,lang
561,late
562,lati
563,laye
564,lear
565,leas
566,lect
567,less
568,lete
569,lica
570,liev
571,like
572,line
573,ling
574,lish
575,list
576,lity
577,ll
578,lled
579,llin
580,llow
581,logi
582,long
583,look
584,loso
585,m
586,ma
587,main
588,make
589,many
590,mate
591,mati
592,mber
593,me
594,mean
595,ment
596,meth
597,migh
598,mightn
599,mightn't
600,ming
601,mmen
602,mode
603,more
604,most
605,move
606,mple
607,mpor
608,much
609,mustn
610,mustn't
611,my
612,myself
613,name
614,nati
615,nces
616,nclu
617,nder
618,ndin
619,need
620,needn
621,needn't
622,nera
623,ness
624,nfor
625,ngua
626,ning
627,niti
628,no
629,nor
630,not
631,note
632,noth
633,now
634,nsid
635,nswe
636,nted
637,nten
638,nter
639,ntin
640,ntio
641,ntly
642,numb
643,o
644,obje
645,oble
646,oduc
647,of
648,off
649,ogic
650,oing
651,oint
652,ollo
653,olog
