,feature_indices
0,0
1,1
2,2
3,3
4,5
5,6
6,7
7,8
8,11
9,15
10,16
11,26
12,35
13,42
14,45
15,46
16,47
17,49
18,51
19,52
20,53
21,54
22,55
23,56
24,57
25,58
26,59
27,60
28,63
29,66
30,68
31,69
32,81
33,84
34,88
35,91
36,95
37,97
38,98
39,99
40,103
41,108
42,109
43,110
44,111
45,112
46,114
47,119
48,120
49,121
50,122
51,123
52,128
53,130
54,133
55,136
56,138
57,139
58,140
59,146
60,149
61,152
62,154
63,160
64,163
65,166
66,168
67,170
68,173
69,174
70,175
71,176
72,186
73,187
74,189
75,193
76,197
77,198
78,199
79,200
80,201
81,202
82,203
83,204
84,212
85,213
86,219
87,225
88,227
89,232
90,233
91,234
92,236
93,240
94,241
95,242
96,243
97,244
98,248
99,251
100,256
101,263
102,273
103,276
104,279
105,282
106,283
107,288
108,290
109,292
110,294
111,299
112,310
113,317
114,325
115,328
116,330
117,331
118,333
119,337
120,341
121,342
122,344
123,349
124,350
125,352
126,354
127,357
128,362
129,364
130,366
131,368
132,379
133,402
134,403
135,409
136,410
137,416
138,417
139,425
140,426
141,428
142,439
143,440
144,446
145,451
146,455
147,456
148,457
149,458
150,471
151,473
152,476
153,482
154,492
155,496
156,499
157,501
158,502
159,503
160,507
161,508
162,512
163,514
164,515
165,516
166,521
167,524
168,531
169,537
170,543
171,544
172,552
173,561
174,562
175,563
176,568
177,571
178,572
179,589
180,592
181,593
182,594
183,603
184,608
185,613
186,614
187,627
188,631
189,635
190,639
191,641
192,644
193,654
194,658
195,659
196,663
197,665
198,672
199,673
200,674
201,675
202,676
203,683
204,684
205,690
206,694
207,699
208,704
209,707
210,710
211,712
212,722
213,725
214,726
215,729
216,732
217,734
218,750
219,752
220,753
221,754
222,758
223,766
224,772
225,773
226,775
227,783
228,784
229,789
230,793
231,797
232,808
233,812
234,813
235,826
236,828
237,835
238,837
239,839
240,840
241,846
242,849
243,850
244,866
245,870
246,882
247,884
248,894
249,898
250,899
251,902
252,908
253,909
254,914
255,915
256,918
257,919
258,925
